"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","REMINDER: @HoCoGovExec 1st Citizens’ Budget Hearing for FY2019 budget cycle is 2night, 12/11 #HoCoMD at 7 pm in the… https://t.co/9plwv8AAAB",FALSE,0,NA,2017-12-11 16:13:35,TRUE,NA,"940253236321226752",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"2","@HCDFRS is constantly reminding us #HoCoMD that WORKING smoke alarms SAVE LIVES! On November 9 and at just 12 years… https://t.co/1nskAp6WT7",FALSE,3,"HCDFRS",2017-12-08 19:44:01,TRUE,NA,"939219032674357248","562071938","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"3","UPDATE: The main has been repaired and all water restored to Mount Hebron and surrounding streets https://t.co/DgM7deLkSS",FALSE,1,NA,2017-12-08 19:42:07,FALSE,NA,"939218551654764544",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"4","@HoCoGov Bureau of Utilities reports a broken H2O main in 2200 block of Mount Hebron Dr, affecting surrounding… https://t.co/y971YsJ3AU",FALSE,0,"HoCoGov",2017-12-08 17:34:57,TRUE,NA,"939186548293230592","161698693","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",1,FALSE,FALSE,NA,NA
"5","TRAFFIC ALERT #HoCoMD. Southbound I-95 at MD 100 is CLOSED for a crash. https://t.co/qXFlFZAXg1",FALSE,0,NA,2017-12-08 17:29:06,FALSE,NA,"939185077342425089",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"6","@a_lipphardt Hi. For questions and/or more information about the ""Howard County Police Department Call For Service… https://t.co/ZQxarprfUL",FALSE,1,"a_lipphardt",2017-12-08 16:14:02,TRUE,"939164376757612544","939166186474037249","903983109737209856","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"7","@NWS_BaltWash has issued a Winter Wx Advisory for #HoCoMD from midnight tonight to 4 pm, 12/9. For HoCoMD, forecast… https://t.co/PQt1Nm859n",FALSE,1,"NWS_BaltWash",2017-12-08 15:00:27,TRUE,NA,"939147670039547904","860334187","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",1,FALSE,FALSE,NA,NA
"8","Don't forget #HoCoMD, @HoCoRec Christmas in the Park is TONIGHT, 12/7, 6 pm at  Centennial Park, 10000 MD 108,… https://t.co/rnqtlg6ZaN",FALSE,2,NA,2017-12-07 21:03:58,TRUE,NA,"938876762506874880",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",1,FALSE,FALSE,NA,NA
"9","W/ the holidays right around the corner, don't forget #HoCoMD, #ChristmasDay &amp; #NewYearsDay are 2 of the 6 major ho… https://t.co/fNAtwBdF9k",FALSE,0,NA,2017-12-07 15:59:04,TRUE,NA,"938800030735130624",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"10","ICYMI #HoCoMD, #HoCoPolice FINAL @CoffeewithaCop of 2017 is today, 12/7 from 10 am to noon at @HoCoRec North Laurel… https://t.co/3RwnPQhdhX",FALSE,1,NA,2017-12-07 13:42:58,TRUE,NA,"938765780988153857",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
