"","originalPlace","interpretedPlace","longitude","latitude","xmin","xmax","ymin","ymax","uncertainty"
"57","Howard County, MD","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"65","Howard County, MD, USA","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"64","Howard County, MD, USA","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"63","Howard County, MD, USA","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"13","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"34","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"10","Columbia, md","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"31","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"51","Howard County, Maryland","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"50","Howard County, Maryland","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"53","Howard County, Maryland","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"49","Howard County, Maryland","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"21","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"14","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"23","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"78","S-Ville","2655 W Overhill Dr, Stephenville, TX 76401, USA",-98.2364477,32.2168805,-98.2377967,-98.2350987,32.2155315,32.2182295,196
"58","Howard County, MD","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"71","Maryland, USA","Maryland, USA",-76.6412712,39.0457549,-79.4876511,-74.9862819,37.8866049,39.723037,161195
"73","Maryland, USA","Maryland, USA",-76.6412712,39.0457549,-79.4876511,-74.9862819,37.8866049,39.723037,161195
"77","North Laurel, MD","North Laurel, MD 20723, USA",-76.8705293,39.1389968,-76.9189239,-76.818226,39.10313,39.168562,5587
"74","Maryland, USA","Maryland, USA",-76.6412712,39.0457549,-79.4876511,-74.9862819,37.8866049,39.723037,161195
"43","Half Moon Bay","Half Moon Bay, CA, USA",-122.4285862,37.4635519,-122.4778879,-122.4165183,37.4249286,37.5226389,6116
"1","6480 Dobbin Center Way","6480 Dobbin Center Way, Columbia, MD 21045, USA",-76.8197984,39.1983812,-76.8211473,-76.8184494,39.1970322,39.1997302,190
"62","Howard County, MD","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"70","Maryland, USA","Maryland, USA",-76.6412712,39.0457549,-79.4876511,-74.9862819,37.8866049,39.723037,161195
"26","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"41","Frederick, MD","Frederick, MD, USA",-77.4105409,39.4142688,-77.4781722,-77.3602331,39.392472,39.4885432,6308
"24","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"28","Columbia, MD ","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"9","Columbia, Maryland","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
